Entidad,Recaudo_Total,Recaudo_Anual_Medio,CV_Interanual,Tendencia_Pct,N_Anios,Tipologia,R_Lag12,R_Lag1,IEP,ERS,Semaforo
GAMA,78652829.0,19663207.25,16.872482096644596,-31.474525601615678,4,Criticos,0.4899915457494163,-0.15412534031581926,-0.009132131404586723,42.73821127433975,ROJO
GAMARRA,404524370.0,101131092.5,17.319612336370227,-10.60965736131052,4,Criticos,0.465006910681673,-0.15360329708012802,0.3980912774332217,41.109537519965556,NARANJA
GAMBITA,111976391.0,27994097.75,17.37097307566635,-11.427984672233276,4,Criticos,0.46679532730487405,-0.15304700031489515,0.3923194833144581,41.126969025223524,NARANJA
GAMEZA,106588925.0,26647231.25,15.453895196470208,-16.246087105203475,4,Criticos,0.4880811254259972,-0.1549804302049789,0.1117542162703614,41.41505600693456,NARANJA
GARAGOA,614225733.0,153556433.25,14.056673932041516,-23.366331999639616,4,Criticos,0.49701567543426667,-0.14939411844224304,-0.321344957801072,42.78701093112008,ROJO
GENOVA,323864024.0,80966006.0,19.192556336870275,8.411578558043237,4,Dependientes,0.48479317974934266,-0.12962645855832355,1.085100798481283,37.58228982816399,VERDE
GINEBRA,912919228.0,228229807.0,15.716205675323186,-20.25263737790393,4,Criticos,0.46083426399973176,-0.14536940226508968,0.48902539068590845,41.04986263495955,NARANJA
GIRALDO,186781799.0,46695449.75,16.858285050300097,3.3931194762718824,4,Criticos,0.43276363984368127,-0.13832024900321968,1.2019376880181145,38.41330553010218,VERDE
GIRARDOTA,2067530896.0,516882724.0,13.068175338210272,-6.5356360411070735,4,Dependientes,0.42288558317151376,-0.13130858605556653,-0.03175658932688968,42.863394587411904,ROJO
GOBERNACION DE ANTIOQUIA,1548759250354.1199,387189812588.52997,6.5202258992728215,19.39320708438713,4,Consolidados,0.2810154026613819,0.13799797557223223,0.25286773845343186,43.422767299244015,ROJO
GOBERNACION DE BOLIVAR,262179940072.62,65544985018.155,5.6846651061333455,17.238193308559616,4,Consolidados,0.6246954121394606,-0.05646892589955209,0.38081518943370585,33.40759364269643,VERDE
GOBERNACION DE BOYACA,378769336065.82,94692334016.455,7.027632205180942,20.56577266852447,4,Consolidados,0.04706204409056567,-0.061881934803175886,0.6338580285452751,48.57099816333339,ROJO
GOBERNACION DE CUNDINAMARCA,1152381773856.51,288095443464.1275,5.53561764718022,12.318803808432682,4,Consolidados,0.27234088372386395,0.16842297153851946,0.008552905081298983,44.67941223103236,ROJO
GOBERNACION DE SAN ANDRES Y PROVIDENCIA,17077533082.36,4269383270.59,1.9772901290719809,2.593248025368776,4,Consolidados,0.5411297644429596,-0.18030114853001603,-0.015249082830913929,37.13287804389809,ROJO
GOBERNACION DE SANTANDER,492180238453.48,123045059613.37,5.123721691037195,11.497536871754892,4,Consolidados,0.501466013816165,-0.3651173485530203,0.3570444500158422,37.06063183606439,VERDE
GOBERNACION DE VICHADA,13804043892.62,3451010973.155,8.617402830834365,25.847291773996258,4,Consolidados,0.5711173231270326,-0.16319501866897929,0.47440911362402316,34.69065949352889,VERDE
GOBERNACION DEL AMAZONAS,17274222863.66,4318555715.915,13.175138671886295,8.990793733958672,4,Consolidados,0.7023569324417924,-0.21318203145451897,0.5243176924201053,32.46284681937671,VERDE
GOBERNACION DEL ATLANTICO,377281606437.89,94320401609.4725,10.423398058224011,27.49665670540507,4,Consolidados,0.2789991429335665,-0.12461580680985858,0.753283252881232,42.02349910555035,ROJO
GOBERNACION DEL GUAVIARE,21890439552.719997,5472609888.179999,8.606179330821409,21.501850608820444,4,Consolidados,0.11418771742478055,0.18373550069293407,0.751788591844052,46.53355272623698,ROJO
GOBERNACION DEL MAGDALENA,149169117716.97998,37292279429.244995,6.715853474158115,15.258353386126611,4,Consolidados,0.26725487058089614,-0.16922452901803578,0.18977011692058646,44.2511548518917,ROJO
GOBERNACION DEL NORTE DE SANTANDER,1666075516.4899998,555358505.4966666,166.36644495548325,310.2538498462746,3,Emergentes,0.0,0.0,290.03381492139533,49.70239972570666,ROJO
GOBERNACION DEL PUTUMAYO,40888427380.46,10222106845.115,3.879828692003741,5.413220758971373,4,Consolidados,0.493251371570998,-0.4986826781583664,-0.12482442840921103,39.06163945038284,ROJO
GOBERNACION DEL QUINDIO,169758870814.11,42439717703.5275,3.4768272029072866,-4.743702859222066,4,Consolidados,0.08372338438087895,-0.1317101543053064,0.13559512280038014,49.847128727269265,ROJO
GOBERNACION DEL TOLIMA,254053476831.56,63513369207.89,3.3474215562250635,-0.08960663609218578,4,Consolidados,0.37003129317338,-0.008600220777876685,-0.027554116221783935,42.27646625807847,ROJO
GOBERNACION DEL VALLE DEL CAUCA,1166065818941.88,291516454735.47,11.940448682795738,25.316845628829654,4,Consolidados,0.36624067245241027,-0.023605072501555826,0.1689370605497206,42.06796012842604,ROJO
GOMEZ PLATA,360729466.0,90182366.5,7.471296588107486,8.510298740053578,4,Dependientes,0.46200949324455975,-0.14155759874307225,0.2671845115940404,39.02892874062685,VERDE
GRAMALOTE,194250369.0,48562592.25,17.915737103682844,-5.992142233716941,4,Criticos,0.4527432051278986,-0.1545812652413705,0.727067471298516,40.171405764257806,AMARILLO
GRANADA,4588265751.0,1147066437.75,13.512507596581555,-1.4319469439118806,4,Dependientes,0.46870085770121617,-0.1522079780252717,0.5982603755910952,39.194428779625554,VERDE
GUACA,180362656.0,45090664.0,20.78780480239245,-20.397126997287067,4,Criticos,0.504661588421305,-0.15277548504175278,0.11505908467543034,42.0884719937372,ROJO
GUACAMAYAS,49201320.0,12300330.0,7.097981356170586,9.10505653100364,4,Criticos,0.3309544147362621,-0.14001180214337722,-0.07515584602624553,43.78270233146369,ROJO
GUACHETA,585648255.0,146412063.75,8.547968607182048,1.0303186509110318,4,Dependientes,0.3608484515162554,-0.11667271392071682,0.32229965343044287,42.16206801213458,ROJO
GUACHUCAL,628544431.0,157136107.75,13.899370402650138,-3.908761956718379,4,Dependientes,0.4851792680170887,-0.15673497970331576,0.6268886171196358,38.81794884823828,VERDE
GUADALUPE,249377947.0,62344486.75,10.652708239662527,-12.049760278121145,4,Criticos,0.4547267554036524,-0.17745905681901522,0.2322998124025691,40.8566825707387,AMARILLO
GUAMAL,610522106.0,152630526.5,14.617652424262523,16.907895289216604,4,Dependientes,0.4656909226678638,-0.1413649631508133,0.8664627914935144,37.6867650714943,VERDE
GUARANDA,605268042.0,151317010.5,14.933169329105835,-2.785840393007236,4,Dependientes,0.46813616929418517,-0.15443637227025966,0.4707912962275352,39.98120030208277,AMARILLO
GUARNE,2300957956.0,575239489.0,13.92549115182221,25.32535119472648,4,Dependientes,0.37765547159756946,-0.14510591368484027,1.0049293344170274,39.121835027118095,VERDE
GUASCA,616010167.0,154002541.75,9.21089705667701,14.347857995661945,4,Dependientes,0.4790511432646971,-0.07863272600164789,0.7695172529556212,36.81068420589737,VERDE
GUATAPI,237374723.0,59343680.75,25.49884472939965,-2.960040863323093,4,Criticos,0.48779648474731313,-0.15637870336924237,0.385651678044155,41.64251634433181,NARANJA
GUATAVITA,255104515.0,63776128.75,9.208632624857486,21.959763119049462,4,Dependientes,0.37480226183370857,-0.11556194858897427,-0.06277459394440545,42.32132954657277,ROJO
GUATICA,597494236.0,149373559.0,7.413657417747559,9.9926675778007,4,Dependientes,0.4881943487780313,-0.13817190497226534,0.17964820105809445,38.53978623403249,VERDE
GUAVATA,117549962.0,29387490.5,17.232630768935252,-23.762205895055924,4,Criticos,0.4935744350501201,-0.1560146621556488,0.26964548004963995,41.358521265725244,NARANJA
GUAYABAL DE SIQUIMA,83302565.0,20825641.25,18.411861597588324,-29.093774963592058,4,Criticos,0.5004005509079664,-0.15652412390610554,0.20409366744714097,41.856720017258674,NARANJA
GUAYABETAL,134678955.0,33669738.75,17.73249620224931,-21.436605889910567,4,Criticos,0.4993031090808335,-0.15631059858684987,0.028619246743387092,42.04505555993895,ROJO
GUAYATA,88277927.0,22069481.75,17.764099029567614,-19.481321984373285,4,Criticos,0.49433346889735424,-0.15521175430278727,-0.11878877764612959,42.626031260712374,ROJO
GUEPSA,172194594.0,43048648.5,13.93659697886635,-11.69536367674818,4,Criticos,0.48564933435966334,-0.1621199114946613,0.3254866220643946,40.24090352156469,AMARILLO
GUICAN,131599756.0,32899939.0,17.243717848040035,-22.30816051057116,4,Criticos,0.5036948109314389,-0.15429993788827487,-0.22009315000147164,42.76375548185153,ROJO
HACARI,348402540.0,87100635.0,16.8477153907179,-6.752620345419985,4,Criticos,0.4707629565743855,-0.1528668478346108,0.3344208395178595,40.91838382233972,AMARILLO
