Feature,Gain,Gain_pct
Lag_12,0.1481911540031433,33.211256392101824
Diff_1,0.07447822391986847,16.691383550320797
Es_Pico_Fiscal,0.03856746107339859,8.643389321834139
MA_3,0.03350019454956055,7.507759541079949
Diff_12,0.02662031725049019,5.965903885372051
Lag_3,0.021077465265989304,4.723690207780846
Trimestre,0.020717857405543327,4.643098158044644
Lag_1,0.017471054568886757,3.9154541755939936
MA_6,0.016619382426142693,3.7245851450843594
Mes,0.012835446745157242,2.8765638247985037
Trend,0.012111819349229336,2.7143910207591952
Mes_sin,0.00679307384416461,1.5224020532578229
Anio,0.00575195113196969,1.2890750806531523
IPC_Idx,0.005527334753423929,1.2387360966029275
Trend_sq,0.00378186022862792,0.8475561887411345
Lag_2,0.002163015305995941,0.4847553579746605
