Fecha,Real,Pronostico_SARIMAX_Alt,IC_Inferior,IC_Superior,Error_Pct
2025-10-01,313009859577.27,261506329172.6025,202137473844.5283,338312134294.8516,-16.454283732220034
2025-11-01,273825294334.44,323099544648.45245,249747399850.8939,417995606017.68616,17.99477671841036
2025-12-01,241029180476.59,222930738042.91226,172319562484.92267,288406686087.606,-7.508817977097819
