Fecha,Real,Pronostico_Prophet,IC_Inferior,IC_Superior,Error_Abs,Error_Pct
2025-10-01,313009859577.27,264018495697.46323,245595951085.8877,283117874627.6139,48991363879.80679,-15.651699900434837
2025-11-01,273825294334.44,281894694633.26843,262311166791.11862,301516577056.6623,8069400298.82843,2.9469155939161578
2025-12-01,241029180476.59,240293912710.09402,222257947456.60352,258077091598.70633,735267766.4959717,-0.30505342342454866
