Fecha,Real,Pronostico_SARIMAX,IC_Inferior,IC_Superior,Error_Abs,Error_Pct
2025-10-01,313009859577.27,251662975519.16708,196828801218.01984,321773301748.62286,61346884058.102936,-19.59902609488209
2025-11-01,273825294334.44,290322756273.6698,227138431566.3715,371083405961.15173,16497461939.229797,6.024813003243014
2025-12-01,241029180476.59,232263471242.70056,181714865363.44922,296873455926.65906,8765709233.889435,-3.6367834038006883
