Fecha,Real,Pronostico_LSTM,IC_Inferior,IC_Superior,Error_Abs,Error_Pct
2025-10-01,313009859577.2699,3.1808917e+11,2.6860185e+11,3.6096482e+11,5079307270.730103,1.622730759213104
2025-11-01,273825294334.4397,3.3724675e+11,2.8477155e+11,3.8700833e+11,63421454337.5603,23.16128409236722
2025-12-01,241029180476.59018,3.513607e+11,2.980911e+11,4.0229854e+11,110331532227.40982,45.77517627087717
